year_film,year_award,ceremony,category,nominee,film,win,reducedString,tconst,primaryTitle,originalTitle
1968,1969,26,Best Director - Motion Picture,Franco Zeffirelli,Romeo and Juliet,False,romeo and juliet,tt11111564,Romeo and Juliet,Romeo and Juliet
1968,1969,26,Best Director - Motion Picture,William Wyler,Funny Girl,False,funny girl,tt8851198,Funny Girl,Funny Girl
1968,1969,26,New Star Of The Year - Actress,Ewa Aulin,Candy,False,candy,tt0325153,Candy,Candy
1968,1969,26,New Star Of The Year - Actress,Ewa Aulin,Candy,False,candy,tt22816768,CANDY,CANDY
1968,1969,26,Foreign Film - Foreign Language,"Sweden, Ingmar Bergman",Shame,False,shame,tt0093952,Shame,Shame
1968,1969,26,Foreign Film - English Language,"France, Michel Deville",Benjamin,False,benjamin,tt0169603,Benjamin,Benjamin
1968,1969,26,Foreign Film - English Language,"United Kingdom, Michael Sarne",Joanna,False,joanna,tt1499197,Joanna,Joanna
1969,1970,27,Best Performance by an Actor in a Motion Picture - Drama,John Wayne,True Grit,True,true grit,tt1403865,True Grit,True Grit
1969,1970,27,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Peter O'Toole,"Goodbye, Mr. Chips",True,goodbye mr chips,tt15907216,"Goodbye, Mr. Chips","Goodbye, Mr. Chips"
1969,1970,27,Best Performance by an Actress in a Supporting Role in any Motion Picture,Goldie Hawn,Cactus Flower,True,cactus flower,tt6520568,Cactus Flower,Cactus Flower
1969,1970,27,Best Performance by an Actress in a Supporting Role in any Motion Picture,Marianne McAndrew,"Hello, Dolly!",False,hello dolly,tt7122036,Hello Dolly,Hello Dolly
1969,1970,27,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jack Nicholson,Easy Rider,False,easy rider,tt2613256,Easy Rider,Easy Rider
1969,1970,27,Actor In A Television Series - Drama,Lloyd Haines,Room 222,False,room iiiiii,tt1629375,Room 33,Room 33
1969,1970,27,Foreign Film - Foreign Language,"Algeria, Constantin Costa-Gavras",Z,True,z,tt10727176,Z,Z
1969,1970,27,Foreign Film - Foreign Language,"Algeria, Constantin Costa-Gavras",Z,True,z,tt3452760,The Z,The Z
1969,1970,27,Foreign Film - English Language,"United Kingdom, Lindsay Anderson",If....,False,if,tt0360652,If,If
