year_film,year_award,ceremony,category,nominee,film,win,reducedString,tconst,primaryTitle,originalTitle
1975,1976,33,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ronee Blakley,Nashville,False,nashville,tt13809692,"Nashville, the Craziest City of America",Nashville
1975,1976,33,Best Director - Motion Picture,Stanley Kubrick,Barry Lyndon,False,barry lyndon,tt0072684,Barry Lyndon,Barry Lyndon
1975,1976,33,Best Director - Motion Picture,Steven Spielberg,Jaws,False,jaws,tt0073195,Jaws,Jaws
1975,1976,33,Best Original Song - Motion Picture,"My Little Friend, Roy Budd, Sammy Cahn",Paper Tiger,False,paper tiger,tt0073511,Paper Tiger,Paper Tiger
1975,1976,33,Best Original Song - Motion Picture,"Now That We're In Love, George Barrie, Sammy Cahn",Whiffs,False,whiffs,tt0073891,Whiffs,Whiffs
1975,1976,33,Best Performance by an Actress In A Television Series - Drama,Rosemary Harris,Notorious Woman,False,notorious woman,tt3224426,Notorious Woman,Notorious Woman
1975,1976,33,Best Performance by an Actor In A Television Series - Drama,Robert Blake,Baretta,True,baretta,tt2857716,Baretta,Baretta
1975,1976,33,New Star Of The Year - Actor,Jeffrey Lynas,Lies My Father Told Me,False,lies my father told me,tt0073293,Lies My Father Told Me,Lies My Father Told Me
1976,1977,34,Best Performance by an Actress in a Motion Picture - Drama,Faye Dunaway,Network,True,network,tt0074958,Network,Network
1976,1977,34,Best Performance by an Actress in a Motion Picture - Drama,Faye Dunaway,Network,True,network,tt16230168,The Network,The Network
1976,1977,34,Best Performance by an Actress in a Motion Picture - Drama,Talia Shire,Rocky,False,rocky,tt0075148,Rocky,Rocky
1976,1977,34,Best Performance by an Actress in a Motion Picture - Drama,Liv Ullmann,Face to Face,False,face to face,tt0262408,Italian Ties,Face to Face
1976,1977,34,Best Performance by an Actress in a Motion Picture - Drama,Liv Ullmann,Face to Face,False,face to face,tt0353437,Face to Face,Face to Face
1976,1977,34,Best Performance by an Actor in a Motion Picture - Drama,David Carradine,Bound for Glory,False,bound for glory,tt0074235,Bound for Glory,Bound for Glory
1976,1977,34,Best Performance by an Actor in a Motion Picture - Drama,Robert De Niro,Taxi Driver,False,taxi driver,tt0075314,Taxi Driver,Taxi Driver
1976,1977,34,Best Performance by an Actor in a Motion Picture - Drama,Dustin Hoffman,Marathon Man,False,marathon man,tt0074860,Marathon Man,Marathon Man
1976,1977,34,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Barbara Harris,Family Plot,False,family plot,tt0074512,Family Plot,Family Plot
1976,1977,34,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Mel Brooks,Silent Movie,False,silent movie,tt0075222,Silent Movie,Silent Movie
1976,1977,34,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Gene Wilder,Silver Streak,False,silver streak,tt0075223,Silver Streak,Silver Streak
1976,1977,34,Best Performance by an Actress in a Supporting Role in any Motion Picture,Katharine Ross,Voyage of the Damned,True,voyage of damned,tt0075406,Voyage of the Damned,Voyage of the Damned
1976,1977,34,Best Performance by an Actress in a Supporting Role in any Motion Picture,Piper Laurie,Carrie,False,carrie,tt0074285,Carrie,Carrie
1976,1977,34,Best Performance by an Actress in a Supporting Role in any Motion Picture,Shelley Winters,"Next Stop, Greenwich Village",False,next stop greenwich village,tt0074963,"Next Stop, Greenwich Village","Next Stop, Greenwich Village"
1976,1977,34,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jason Robards Jr.,All The President's Men,False,all presidents men,tt0074119,All the President's Men,All the President's Men
1976,1977,34,Best Original Score - Motion Picture,Paul Williams,Bugsy Malone,False,bugsy malone,tt0074256,Bugsy Malone,Bugsy Malone
1976,1977,34,Best Original Song - Motion Picture,"So Sad the Song, Michael Masser, Gerry Goffin",Pipe Dreams,False,pipe dreams,tt0075068,Pipe Dreams,Pipe Dreams
1976,1977,34,Best Original Song - Motion Picture,"Car Wash, Norman Whitfield, Rose Royce",Car Wash,False,car wash,tt0074281,Car Wash,Car Wash
1976,1977,34,Best Original Song - Motion Picture,"Hello and Goodbye, Alan Bergman, Marilyn Bergman, Elmer Bernstein",From Noon Till Three,False,from noon till three,tt0074553,From Noon Till Three,From Noon Till Three
1976,1977,34,Best Performance by an Actress In A Television Series - Drama,Farrah Fawcett,Charlie's Angels,False,charlies angels,tt0160127,Charlie's Angels,Charlie's Angels
1976,1977,34,Best Performance by an Actress In A Television Series - Drama,Sada Thompson,Family,False,family,tt0071485,The Family,The Family
1976,1977,34,Best Performance by an Actress In A Television Series - Drama,Sada Thompson,Family,False,family,tt0196547,Family,Family
1976,1977,34,Best Performance by an Actress In A Television Series - Drama,Sada Thompson,Family,False,family,tt5939770,The Cult That Stole Children: Inside the Family,The Family
1976,1977,34,Best Performance by an Actress in a Television Series - Musical or Comedy,Bernadette Peters,All's Fair,False,alls fair,tt0096789,All's Fair,All's Fair
1976,1977,34,Best Performance by an Actor in a Television Series - Musical or Comedy,Henry Winkler,Happy Days,True,happy days,tt0178548,Happy Days,Happy Days
1976,1977,34,New Star Of The Year - Actress,Mariel Hemingway,Lipstick,False,lipstick,tt0074802,Lipstick,Lipstick
1976,1977,34,New Star Of The Year - Actor,Arnold Schwarzenegger,Stay Hungry,True,stay hungry,tt0075268,Stay Hungry,Stay Hungry
1976,1977,34,New Star Of The Year - Actor,Truman Capote,Murder by Death,False,murder by death,tt0074937,Murder by Death,Murder by Death
1977,1978,35,Best Performance by an Actress in a Motion Picture - Drama,Jane Fonda,Julia,True,julia,tt0076245,Julia,Julia
1977,1978,35,Best Performance by an Actress in a Motion Picture - Drama,Diane Keaton,Looking For Mr. Goodbar,False,looking for mr goodbar,tt0076327,Looking for Mr. Goodbar,Looking for Mr. Goodbar
1977,1978,35,Best Performance by an Actress in a Motion Picture - Drama,Kathleen Quinlan,I Never Promised You a Rose Garden,False,i never promised you a rose garden,tt0076172,I Never Promised You a Rose Garden,I Never Promised You a Rose Garden
1977,1978,35,Best Performance by an Actress in a Motion Picture - Drama,Gena Rowlands,Opening Night,False,opening night,tt0079672,Opening Night,Opening Night
1977,1978,35,Best Performance by an Actor in a Motion Picture - Drama,Richard Burton,Equus,True,equus,tt0075995,Equus,Equus
1977,1978,35,Best Performance by an Actor in a Motion Picture - Drama,Henry Winkler,Heroes,False,heroes,tt0076138,Heroes,Heroes
1977,1978,35,Best Performance by an Actor in a Motion Picture - Drama,Henry Winkler,Heroes,False,heroes,tt1483386,Forever Young,Héroes
1977,1978,35,Best Performance by an Actor in a Motion Picture - Drama,Henry Winkler,Heroes,False,heroes,tt3960728,Héroes,Héroes
1977,1978,35,Best Performance by an Actor in a Motion Picture - Drama,Al Pacino,Bobby Deerfield,False,bobby deerfield,tt0075774,Bobby Deerfield,Bobby Deerfield
1977,1978,35,Best Performance by an Actor in a Motion Picture - Drama,Gregory Peck,MacArthur,False,macarthur,tt0076342,MacArthur,MacArthur
1977,1978,35,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Diane Keaton,Annie Hall,True,annie hall,tt0075686,Annie Hall,Annie Hall
1977,1978,35,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Sally Field,Smokey and The Bandit,False,smokey and bandit,tt0076729,Smokey and the Bandit,Smokey and the Bandit
1977,1978,35,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Liza Minnelli,"New York, New York",False,new york new york,tt0076451,"New York, New York","New York, New York"
1977,1978,35,Best Performance by an Actor in a Motion Picture - Musical or Comedy,John Travolta,Saturday Night Fever,False,saturday night fever,tt0076666,Saturday Night Fever,Saturday Night Fever
1977,1978,35,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Mel Brooks,High Anxiety,False,high anxiety,tt0076141,High Anxiety,High Anxiety
1977,1978,35,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ann-Margret,Joseph Andrews,False,joseph andrews,tt0076234,Joseph Andrews,Joseph Andrews
1977,1978,35,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lilia Skala,Roseland,False,roseland,tt0076639,Roseland,Roseland
1977,1978,35,Best Director - Motion Picture,Steven Spielberg,Close Encounters of the Third Kind,False,close encounters of third kind,tt0075860,Close Encounters of the Third Kind,Close Encounters of the Third Kind
1977,1978,35,Best Original Score - Motion Picture,Joel Hirschhorn,Pete's Dragon,False,petes dragon,tt0076538,Pete's Dragon,Pete's Dragon
1977,1978,35,Best Original Song - Motion Picture,"You Light Up My Life, Joseph Brooks",You Light Up My Life,True,you light up my life,tt0076941,You Light Up My Life,You Light Up My Life
1977,1978,35,Best Performance by an Actress In A Television Series - Drama,Leslie Uggams,Roots,False,roots,tt0254740,Roots,Roots
1978,1979,36,Best Performance by an Actress in a Motion Picture - Drama,Jane Fonda,Coming Home,True,coming home,tt0077362,Coming Home,Coming Home
1978,1979,36,Best Performance by an Actress in a Motion Picture - Drama,Glenda Jackson,Stevie,False,stevie,tt0078321,Stevie,Stevie
1978,1979,36,Best Performance by an Actress in a Motion Picture - Drama,Geraldine Page,Interiors,False,interiors,tt0077742,Interiors,Interiors
1978,1979,36,Best Performance by an Actress in a Motion Picture - Drama,Ingrid Bergman,Autumn Sonata,False,autumn sonata,tt6849498,Autumn Sonata,Autumn Sonata
1978,1979,36,Best Performance by an Actor in a Motion Picture - Drama,Brad Davis,Midnight Express,False,midnight express,tt0077928,Midnight Express,Midnight Express
1978,1979,36,Best Performance by an Actor in a Motion Picture - Drama,Anthony Hopkins,Magic,False,magic,tt0077889,Magic,Magic
1978,1979,36,Best Performance by an Actor in a Motion Picture - Drama,Anthony Hopkins,Magic,False,magic,tt14147982,The Magic,The Magic
1978,1979,36,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Ellen Burstyn,"Same Time, Next Year",True,same time next year,tt0078199,"Same Time, Next Year","Same Time, Next Year"
1978,1979,36,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Maggie Smith,California Suite,True,california suite,tt0077289,California Suite,California Suite
1978,1979,36,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jacqueline Bisset,Who Is Killing The Great Chefs of Europe?,False,who is killing great chefs of europe,tt0078488,Who Is Killing the Great Chefs of Europe?,Who Is Killing the Great Chefs of Europe?
1978,1979,36,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Goldie Hawn,Foul Play,False,foul play,tt0077578,Foul Play,Foul Play
1978,1979,36,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Olivia Newton-John,Grease,False,grease,tt0077631,Grease,Grease
1978,1979,36,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Warren Beatty,Heaven Can Wait,True,heaven can wait,tt0077663,Heaven Can Wait,Heaven Can Wait
1978,1979,36,Best Performance by an Actor in a Motion Picture - Musical or Comedy,George C. Scott,Movie Movie,False,movie movie,tt0077952,Movie Movie,Movie Movie
1978,1979,36,Best Director - Motion Picture,Terrence Malick,Days of Heaven,False,days of heaven,tt0077405,Days of Heaven,Days of Heaven
1978,1979,36,Best Original Score - Motion Picture,John Williams,Superman,False,superman,tt0070754,Superman,Superman
1978,1979,36,Best Original Song - Motion Picture,"Last Dance, Alec Constandinos",Thank God It's Friday,True,thank god its friday,tt0078382,Thank God It's Friday,Thank God It's Friday
1978,1979,36,Best Performance by an Actress In A Television Series - Drama,Lee Remick,Wheels,False,wheels,tt0348375,Wheels,Wheels
1978,1979,36,Best Performance by an Actor In A Television Series - Drama,Richard Hatch,Battlestar Galactica,False,battlestar galactica,tt0077215,Battlestar Galactica,Battlestar Galactica
1978,1979,36,Best Performance by an Actress in a Television Series - Musical or Comedy,Linda Lavin,Alice,True,alice,tt0099012,Alice,Alice
1978,1979,36,Best Performance by an Actress in a Television Series - Musical or Comedy,Linda Lavin,Alice,True,alice,tt0254950,A.Li.Ce,A.Li.Ce
1978,1979,36,Best Performance by an Actor in a Television Series - Musical or Comedy,Judd Hirsch,Taxi,False,taxi,tt0117866,Taxi,Taxi
1978,1979,36,Best Performance by an Actor in a Television Series - Musical or Comedy,Judd Hirsch,Taxi,False,taxi,tt0287006,Taxi!,Taxi!
1978,1979,36,Best Performance by an Actor in a Television Series - Musical or Comedy,Gavin MacLeod,The Love Boat,False,love boat,tt0190537,Love Boat,Love Boat
1978,1979,36,Best Performance by an Actor in a Television Series - Musical or Comedy,Gavin MacLeod,The Love Boat,False,love boat,tt27124024,Love boat,Love boat
1978,1979,36,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Pat Harrington,One Day at a Time,False,one day at a time,tt15358484,One Day at A Time,One Day at A Time
1978,1979,36,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Pat Harrington,One Day at a Time,False,one day at a time,tt21836410,One Day at a Time,One Day at a Time
1978,1979,36,New Star Of The Year - Actress,Anne Ditchburn,Slow Dancing in the Big City,False,slow dancing in big city,tt0078278,Slow Dancing in the Big City,Slow Dancing in the Big City
1978,1979,36,New Star Of The Year - Actress,Annie Potts,Corvette Summer,False,corvette summer,tt0077372,Corvette Summer,Corvette Summer
1978,1979,36,New Star Of The Year - Actress,Mary Steenburgen,Goin' South,False,goin south,tt0077621,Goin' South,Goin' South
1978,1979,36,New Star Of The Year - Actor,Doug McKeon,Uncle Joe Shannon,False,uncle joe shannon,tt0078442,Uncle Joe Shannon,Uncle Joe Shannon
1978,1979,36,New Star Of The Year - Actor,Eric Roberts,King of the Gypsies,False,king of gypsies,tt0077807,King of the Gypsies,King of the Gypsies
1979,1980,37,Best Performance by an Actress in a Motion Picture - Drama,Sally Field,Norma Rae,True,norma rae,tt0079638,Norma Rae,Norma Rae
1979,1980,37,Best Performance by an Actress in a Motion Picture - Drama,Lisa Eichhorn,Yanks,False,yanks,tt0080157,Yanks,Yanks
1979,1980,37,Best Performance by an Actress in a Motion Picture - Drama,Marsha Mason,Promises In The Dark,False,promises in dark,tt0079757,Promises in the Dark,Promises in the Dark
1979,1980,37,Best Performance by an Actress in a Motion Picture - Drama,Jill Clayburgh,Luna,False,luna,tt1695388,Luna,Luna
1979,1980,37,Best Performance by an Actress in a Motion Picture - Drama,Jill Clayburgh,Luna,False,luna,tt5089068,Luna's Revenge,Luna
1979,1980,37,Best Performance by an Actor in a Motion Picture - Drama,Dustin Hoffman,Kramer vs. Kramer,True,kramer vs kramer,tt0079417,Kramer vs. Kramer,Kramer vs. Kramer
1979,1980,37,Best Performance by an Actor in a Motion Picture - Drama,Al Pacino,And Justice For All,False,and justice for all,tt0078718,And Justice for All,...And Justice for All
1979,1980,37,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Marsha Mason,Chapter Two,False,chapter two,tt0078952,Chapter Two,Chapter Two
1979,1980,37,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julie Andrews,10,False,10,tt0078721,10,10
1979,1980,37,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jill Clayburgh,Starting Over,False,starting over,tt0079948,Starting Over,Starting Over
1979,1980,37,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Shirley MacLaine,Being There,False,being there,tt0078841,Being There,Being There
1979,1980,37,Best Performance by an Actor in a Motion Picture - Musical or Comedy,George Hamilton,Love at First Bite,False,love at first bite,tt0079489,Love at First Bite,Love at First Bite
1979,1980,37,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Roy Scheider,All That Jazz,False,all that jazz,tt0078754,All That Jazz,All That Jazz
1979,1980,37,Best Performance by an Actor in a Supporting Role in any Motion Picture,Robert Duvall,Apocalypse Now,True,apocalypse now,tt0078788,Apocalypse Now,Apocalypse Now
1979,1980,37,Best Director - Motion Picture,Peter Yates,Breaking Away,False,breaking away,tt0078902,Breaking Away,Breaking Away
1979,1980,37,Best Original Score - Motion Picture,Jerry Goldsmith,Star Trek: The Motion Picture,False,star trek motion picture,tt0079945,Star Trek: The Motion Picture,Star Trek: The Motion Picture
1979,1980,37,Best Original Score - Motion Picture,Jerry Goldsmith,Alien,False,alien,tt0078748,Alien,Alien
1979,1980,37,Best Original Song - Motion Picture,"Through the Eyes of Love (Theme from Ice Castles), Marvin Hamlisch, Carole Bayer Sager",Ice Castles,False,ice castles,tt0077716,Ice Castles,Ice Castles
1979,1980,37,Best Performance by an Actress In A Television Series - Drama,Barbara Bel Geddes,Dallas,False,dallas,tt3614246,Dallas,Dallas
1979,1980,37,Best Performance by an Actor In A Television Series - Drama,Erik Estrada,CHiPs,False,chips,tt0493405,CHIPS,CHIPS
1979,1980,37,Best Performance by an Actor In A Television Series - Drama,Martin Sheen,Blind Ambition,False,blind ambition,tt0758734,Blind Ambition,Blind Ambition
1979,1980,37,Best Performance by an Actor In A Television Series - Drama,Robert Urich,Vega$,False,vega,tt27550457,Vega,Vega
1979,1980,37,Best Performance by an Actress in a Television Series - Musical or Comedy,Donna Pescow,Angie,False,angie,tt0106283,Angie,Angie
1979,1980,37,New Star Of The Year - Actress,Susan Anton,Goldengirl,False,goldengirl,tt0079225,Goldengirl,Goldengirl
1979,1980,37,New Star Of The Year,Treat Williams,Hair,False,hair,tt0079261,Hair,Hair
1979,1980,37,New Star Of The Year - Actor,Dean-Paul Martin,Players,False,players,tt0079723,Players,Players
1979,1980,37,New Star Of The Year - Actor,Dean-Paul Martin,Players,False,players,tt0223936,The Players,The Players
1980,1981,38,Best Performance by an Actress in a Motion Picture - Drama,Mary Tyler Moore,Ordinary People,True,ordinary people,tt0081283,Ordinary People,Ordinary People
1980,1981,38,Best Performance by an Actress in a Motion Picture - Drama,Ellen Burstyn,Resurrection,False,resurrection,tt0081414,Resurrection,Resurrection
1980,1981,38,Best Performance by an Actress in a Motion Picture - Drama,Ellen Burstyn,Resurrection,False,resurrection,tt0817517,The Resurrection,The Resurrection
1980,1981,38,Best Performance by an Actress in a Motion Picture - Drama,Nastassja Kinski,Tess,False,tess,tt0080009,Tess,Tess
1980,1981,38,Best Performance by an Actress in a Motion Picture - Drama,Deborah Raffin,Touched by Love,False,touched by love,tt0081646,Touched by Love,Touched by Love
1980,1981,38,Best Performance by an Actress in a Motion Picture - Drama,Gena Rowlands,Gloria,False,gloria,tt0080798,Gloria,Gloria
1980,1981,38,Best Performance by an Actress in a Motion Picture - Drama,Gena Rowlands,Gloria,False,gloria,tt0118777,Glória,Glória
1980,1981,38,Best Performance by an Actress in a Motion Picture - Drama,Gena Rowlands,Gloria,False,gloria,tt26757264,Gloria!,Gloria!
1980,1981,38,Best Performance by an Actor in a Motion Picture - Drama,Robert De Niro,Raging Bull,True,raging bull,tt0081398,Raging Bull,Raging Bull
1980,1981,38,Best Performance by an Actor in a Motion Picture - Drama,Jack Lemmon,Tribute,False,tribute,tt0081656,Tribute,Tribute
1980,1981,38,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Sissy Spacek,Coal Miner's Daughter,True,coal miners daughter,tt0080549,Coal Miner's Daughter,Coal Miner's Daughter
1980,1981,38,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Irene Cara,Fame,False,fame,tt0080716,Fame,Fame
1980,1981,38,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Goldie Hawn,Private Benjamin,False,private benjamin,tt0081375,Private Benjamin,Private Benjamin
1980,1981,38,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Bette Midler,Divine Madness,False,divine madness,tt0080634,Divine Madness,Divine Madness
1980,1981,38,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Walter Matthau,Hopscotch,False,hopscotch,tt0080889,Hopscotch,Hopscotch
1980,1981,38,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Paul Le Mat,Melvin and Howard,False,melvin and howard,tt0081150,Melvin and Howard,Melvin and Howard
1980,1981,38,Best Performance by an Actress in a Supporting Role in any Motion Picture,Debra Winger,Urban Cowboy,False,urban cowboy,tt0081696,Urban Cowboy,Urban Cowboy
1980,1981,38,Best Original Score - Motion Picture,Giorgio Moroder,American Gigolo,False,american gigolo,tt0080365,American Gigolo,American Gigolo
1980,1981,38,Best Original Score - Motion Picture,John Barry,Somewhere in Time,False,somewhere in time,tt0081534,Somewhere in Time,Somewhere in Time
1980,1981,38,Best Original Score - Motion Picture,John Williams,Star Wars: Episode V - The Empire Strikes Back,False,star wars episode v empire strikes back,tt0080684,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back
1980,1981,38,Best Original Song - Motion Picture,"Yesterday's Dreams, Michel Legrand, Carol Connors, Johnny Mathis",Falling In Love Again,False,falling in love again,tt0080714,Falling in Love Again,Falling in Love Again
1980,1981,38,Best Original Song - Motion Picture,"Endless Love, Lionel Richie, Diana Ross",Endless Love,False,endless love,tt0082329,Endless Love,Endless Love
1980,1981,38,Best Original Song - Motion Picture,"Endless Love, Lionel Richie, Diana Ross",Endless Love,False,endless love,tt27678477,Endless love,Endless love
1980,1981,38,Best Performance by an Actress In A Television Series - Drama,Yoko Shimada,Shogun,True,shogun,tt0163229,The Shogun,The Shogun
1980,1981,38,Best Performance by an Actress in a Television Series - Musical or Comedy,Polly Holliday,Flo,False,flo,tt21967274,Flo,Flo
1980,1981,38,Best Performance by an Actress in a Television Series - Musical or Comedy,Lynn Redgrave,House Calls,False,house calls,tt0077699,House Calls,House Calls
1980,1981,38,New Star Of The Year - Actress,Nancy Allen,Dressed To Kill,False,dressed to kill,tt0080661,Dressed to Kill,Dressed to Kill
1980,1981,38,New Star Of The Year - Actor,William Hurt,Altered States,False,altered states,tt0080360,Altered States,Altered States
1981,1982,39,Best Performance by an Actress in a Motion Picture - Drama,Katharine Hepburn,On Golden Pond,False,on golden pond,tt0082846,On Golden Pond,On Golden Pond
1981,1982,39,Best Performance by an Actress in a Motion Picture - Drama,Diane Keaton,Reds,False,reds,tt0082979,Reds,Reds
1981,1982,39,Best Performance by an Actress in a Motion Picture - Drama,Diane Keaton,Reds,False,reds,tt5180892,The Reds,The Reds
1981,1982,39,Best Performance by an Actress in a Motion Picture - Drama,Sissy Spacek,Raggedy Man,False,raggedy man,tt0082969,Raggedy Man,Raggedy Man
1981,1982,39,Best Performance by an Actress in a Motion Picture - Drama,Sally Field,Absence of Malice,False,absence of malice,tt0081974,Absence of Malice,Absence of Malice
1981,1982,39,Best Performance by an Actor in a Motion Picture - Drama,Timothy Hutton,Taps,False,taps,tt0083169,Taps,Taps
1981,1982,39,Best Performance by an Actor in a Motion Picture - Drama,Burt Lancaster,Atlantic City,False,atlantic city,tt0080388,Atlantic City,Atlantic City
1981,1982,39,Best Performance by an Actor in a Motion Picture - Drama,Treat Williams,Prince of the City,False,prince of city,tt0082945,Prince of the City,Prince of the City
1981,1982,39,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Bernadette Peters,Pennies from Heaven,True,pennies from heaven,tt0082894,Pennies from Heaven,Pennies from Heaven
1981,1982,39,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Blair Brown,Continental Divide,False,continental divide,tt0082200,Continental Divide,Continental Divide
1981,1982,39,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jill Clayburgh,First Monday in October,False,first monday in october,tt0082382,First Monday in October,First Monday in October
1981,1982,39,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Liza Minnelli,Arthur,False,arthur,tt0082031,Arthur,Arthur
1981,1982,39,Best Performance by an Actor in a Motion Picture - Musical or Comedy,George Hamilton,"Zorro, The Gay Blade",False,zorro gay blade,tt0083366,Zorro: The Gay Blade,Zorro: The Gay Blade
1981,1982,39,Best Performance by an Actress in a Supporting Role in any Motion Picture,Joan Hackett,Only When I Laugh,True,only when i laugh,tt0082853,Only When I Laugh,Only When I Laugh
1981,1982,39,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mary Steenburgen,Ragtime,False,ragtime,tt0082970,Ragtime,Ragtime
1981,1982,39,Best Performance by an Actor in a Supporting Role in any Motion Picture,Orson Welles,Butterfly,False,butterfly,tt0082122,Butterfly,Butterfly
1981,1982,39,Best Performance by an Actor in a Supporting Role in any Motion Picture,Orson Welles,Butterfly,False,butterfly,tt1159485,The Butterfly,The Butterfly
1981,1982,39,Best Director - Motion Picture,Steven Spielberg,Raiders of the Lost Ark,False,raiders of lost ark,tt0082971,Raiders of the Lost Ark,Raiders of the Lost Ark
1981,1982,39,Best Original Song - Motion Picture,"For Your Eyes Only, Bill Conti, Mick Leeson, Sheena Easton",For Your Eyes Only,False,for your eyes only,tt0082398,For Your Eyes Only,For Your Eyes Only
1981,1982,39,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Mickey Rooney,Bill,True,bill,tt0790623,Meet Bill,Bill
1981,1982,39,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Mickey Rooney,Bill,True,bill,tt2978576,Bill,Bill
1981,1982,39,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Herve Villechaize,Fantasy Island,False,fantasy island,tt0983946,Fantasy Island,Fantasy Island
1981,1982,39,New Star Of The Year,Rachel Ward,Sharky's Machine,False,sharkys machine,tt0083064,Sharky's Machine,Sharky's Machine
1981,1982,39,New Star Of The Year,Craig Wasson,Four Friends,False,four friends,tt0082404,Four Friends,Four Friends
1981,1982,39,New Star Of The Year,Kathleen Turner,Body Heat,False,body heat,tt0082089,Body Heat,Body Heat
1982,1983,40,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,Sophie's Choice,True,sophies choice,tt0084707,Sophie's Choice,Sophie's Choice
1982,1983,40,Best Performance by an Actress in a Motion Picture - Drama,Diane Keaton,Shoot The Moon,False,shoot moon,tt0084675,Shoot the Moon,Shoot the Moon
1982,1983,40,Best Performance by an Actress in a Motion Picture - Drama,Jessica Lange,Frances,False,frances,tt0083967,Frances,Frances
1982,1983,40,Best Performance by an Actress in a Motion Picture - Drama,Sissy Spacek,Missing,False,missing,tt0084335,Missing,Missing
1982,1983,40,Best Performance by an Actress in a Motion Picture - Drama,Sissy Spacek,Missing,False,missing,tt0151594,The Missing,The Missing
1982,1983,40,Best Performance by an Actor in a Motion Picture - Drama,Ben Kingsley,Gandhi,True,gandhi,tt0083987,Gandhi,Gandhi
1982,1983,40,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Carol Burnett,Annie,False,annie,tt0083564,Annie,Annie
1982,1983,40,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Sally Field,Kiss Me Goodbye,False,kiss me goodbye,tt0084210,Kiss Me Goodbye,Kiss Me Goodbye
1982,1983,40,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Goldie Hawn,Best Friends,False,best friends,tt0072695,Best Friends,Best Friends
1982,1983,40,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dustin Hoffman,Tootsie,True,tootsie,tt0084805,Tootsie,Tootsie
1982,1983,40,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Peter O'Toole,My Favorite Year,False,my favorite year,tt0084370,My Favorite Year,My Favorite Year
1982,1983,40,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Al Pacino,Author! Author!,False,author author,tt0083598,Author! Author!,Author! Author!
1982,1983,40,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Henry Winkler,Night Shift,False,night shift,tt0084412,Night Shift,Night Shift
1982,1983,40,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Henry Winkler,Night Shift,False,night shift,tt1584937,The Night Shift,The Night Shift
1982,1983,40,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Henry Winkler,Night Shift,False,night shift,tt6688304,Killer Night Shift,Night Shift
1982,1983,40,Best Performance by an Actor in a Supporting Role in any Motion Picture,Raul Julia,Tempest,False,tempest,tt0081613,The Tempest,The Tempest
1982,1983,40,Best Performance by an Actor in a Supporting Role in any Motion Picture,Raul Julia,Tempest,False,tempest,tt0084776,Tempest,Tempest
1982,1983,40,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jim Metzler,Tex,False,tex,tt0084783,Tex,Tex
